instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,
1793,7,AARTIIND,AARTI INDUSTRIES,,,,0.05,1,EQ,NSE,NSE,,
6401,25,ADANIENT,ADANI ENTERPRISES,,,,0.1,1,EQ,NSE,NSE,,
60417,236,ASIANPAINT,ASIAN PAINTS,,,,0.1,1,EQ,NSE,NSE,,
98049,383,BEL,BHARAT ELECTRONICS,,,,0.05,1,EQ,NSE,NSE,,
177665,694,CIPLA,CIPLA,,,,0.1,1,EQ,NSE,NSE,,
232961,910,EICHERMOT,EICHER MOTORS,,,,0.5,1,EQ,NSE,NSE,,
315393,1232,GRASIM,GRASIM INDUSTRIES,,,,0.1,1,EQ,NSE,NSE,,
341249,1333,HDFCBANK,HDFC BANK,,,,0.1,1,EQ,NSE,NSE,,
345089,1348,HEROMOTOCO,HERO MOTOCORP,,,,0.1,1,EQ,NSE,NSE,,
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER,,,,0.1,1,EQ,NSE,NSE,,
408065,1594,INFY,INFOSYS,,,,0.1,1,EQ,NSE,NSE,,
424961,1660,ITC,ITC,,,,0.05,1,EQ,NSE,NSE,,
502785,1964,TRENT,TRENT,,,,0.5,1,EQ,NSE,NSE,,
519937,2031,M&M,MAHINDRA & MAHINDRA,,,,0.1,1,EQ,NSE,NSE,,
738561,2885,RELIANCE,RELIANCE INDUSTRIES,,,,0.1,1,EQ,NSE,NSE,,
779521,3045,SBIN,STATE BANK OF INDIA,,,,0.05,1,EQ,NSE,NSE,,
884737,3456,TATAMOTORS,TATA MOTORS,,,,0.05,1,EQ,NSE,NSE,,
1102337,4306,SHRIRAMFIN,SHRIRAM FINANCE,,,,0.05,1,EQ,NSE,NSE,,
1270529,4963,ICICIBANK,ICICI BANK,,,,0.1,1,EQ,NSE,NSE,,
1346049,5258,INDUSINDBK,INDUSIND BANK,,,,0.05,1,EQ,NSE,NSE,
1510401,5900,AXISBANK,AXIS BANK,,,,0.1,1,EQ,NSE,NSE,,
1850625,7229,HCLTECH,HCL TECHNOLOGIES,,,,0.1,1,EQ,NSE,NSE,,
2714625,10604,BHARTIARTL,BHARTI AIRTEL,,,,0.1,1,EQ,NSE,NSE,,
2939649,11483,LT,LARSEN & TOUBRO,,,,0.1,1,EQ,NSE,NSE,,
2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,,,,1,1,EQ,NSE,NSE,,
2977281,11630,NTPC,NTPC,,,,0.05,1,EQ,NSE,NSE,,
3001089,11723,JSWSTEEL,JSW STEEL,,,,0.05,1,EQ,NSE,NSE,,
3465729,13538,TECHM,TECH MAHINDRA,,,,0.1,1,EQ,NSE,NSE,,
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,,,,0.5,1,EQ,NSE,NSE,,
4268801,16675,BAJAJFINSV,BAJAJ FINSERV,,,,0.1,1,EQ,NSE,NSE,,
5215745,20374,COALINDIA,COAL INDIA,,,,0.05,1,EQ,NSE,NSE,,
