instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
114573319,447552,CRUDEOIL25JULFUT,CRUDEOIL,0,7/21/2025,0,1,1,FUT,MCX-FUT,MCX
25601,100,ARE&M,AMARA RAJA ENERGY MOB,,,,0.1,1,EQ,NSE,NSE
32769,128,ROUTE,ROUTE MOBILE,,,,0.05,1,EQ,NSE,NSE
89601,350,BANARISUG,BANNARI AMMAN SUGARS,,,,0.1,1,EQ,NSE,NSE
125185,489,ICEMAKE,ICE MAKE REFRIGERAT,,,,0.05,1,EQ,NSE,NSE
179969,703,DICIND,DIC INDIA,,,,0.05,1,EQ,NSE,NSE
342017,1336,HEG,HEG,,,,0.05,1,EQ,NSE,NSE
519937,2031,M&M,MAHINDRA & MAHINDRA,,,,0.1,1,EQ,NSE,NSE
558337,2181,BOSCHLTD,BOSCH,,,,5,1,EQ,NSE,NSE

