instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13623298,53216,NIFTY25JULFUT,NIFTY,0,7/31/2025,0,0.1,75,FUT,NFO-FUT,NFO
16410370,64103,NIFTY25AUGFUT,NIFTY,0,8/28/2025,0,0.1,75,FUT,NFO-FUT,NFO
13622530,53213,BANKNIFTY25JULFUT,BANKNIFTY,0,7/31/2025,0,0.2,35,FUT,NFO-FUT,NFO
16409602,64100,BANKNIFTY25AUGFUT,BANKNIFTY,0,8/28/2025,0,0.2,35,FUT,NFO-FUT,NFO
13623810,53218,AARTIIND25JULFUT,AARTIIND,0,7/31/2025,0,0.05,1325,FUT,NFO-FUT,NFO
13624066,53219,ABB25JULFUT,ABB,0,7/31/2025,0,0.5,125,FUT,NFO-FUT,NFO
16410882,64105,ABB25AUGFUT,ABB,0,8/28/2025,0,0.5,125,FUT,NFO-FUT,NFO
13624322,53220,ABCAPITAL25JULFUT,ABCAPITAL,0,7/31/2025,0,0.01,3100,FUT,NFO-FUT,NFO
16411138,64106,ABCAPITAL25AUGFUT,ABCAPITAL,0,8/28/2025,0,0.01,3100,FUT,NFO-FUT,NFO
13624578,53221,ABFRL25JULFUT,ABFRL,0,7/31/2025,0,0.01,2600,FUT,NFO-FUT,NFO
16411394,64107,ABFRL25AUGFUT,ABFRL,0,8/28/2025,0,0.01,2600,FUT,NFO-FUT,NFO
13624834,53222,ACC25JULFUT,ACC,0,7/31/2025,0,0.1,300,FUT,NFO-FUT,NFO
13625090,53223,ADANIENSOL25JULFUT,ADANIENSOL,0,7/31/2025,0,0.05,675,FUT,NFO-FUT,NFO
16411650,64108,ADANIENSOL25AUGFUT,ADANIENSOL,0,8/28/2025,0,0.05,675,FUT,NFO-FUT,NFO
13625346,53224,ADANIENT25JULFUT,ADANIENT,0,7/31/2025,0,0.1,300,FUT,NFO-FUT,NFO
16411906,64109,ADANIENT25AUGFUT,ADANIENT,0,8/28/2025,0,0.1,300,FUT,NFO-FUT,NFO
13625602,53225,ADANIGREEN25JULFUT,ADANIGREEN,0,7/31/2025,0,0.1,600,FUT,NFO-FUT,NFO
16412162,64110,ADANIGREEN25AUGFUT,ADANIGREEN,0,8/28/2025,0,0.1,600,FUT,NFO-FUT,NFO
13625858,53226,ADANIPORTS25JULFUT,ADANIPORTS,0,7/31/2025,0,0.1,475,FUT,NFO-FUT,NFO
16412418,64111,ADANIPORTS25AUGFUT,ADANIPORTS,0,8/28/2025,0,0.1,475,FUT,NFO-FUT,NFO
13626114,53227,ALKEM25JULFUT,ALKEM,0,7/31/2025,0,0.5,125,FUT,NFO-FUT,NFO
16412674,64112,ALKEM25AUGFUT,ALKEM,0,8/28/2025,0,0.5,125,FUT,NFO-FUT,NFO
13574914,53027,AMBER25JULFUT,AMBER,0,7/31/2025,0,0.5,100,FUT,NFO-FUT,NFO
13575170,53028,AMBER25AUGFUT,AMBER,0,8/28/2025,0,0.5,100,FUT,NFO-FUT,NFO
13628162,53235,AMBUJACEM25JULFUT,AMBUJACEM,0,7/31/2025,0,0.05,1050,FUT,NFO-FUT,NFO
16412930,64113,AMBUJACEM25AUGFUT,AMBUJACEM,0,8/28/2025,0,0.05,1050,FUT,NFO-FUT,NFO
13628418,53236,ANGELONE25JULFUT,ANGELONE,0,7/31/2025,0,0.1,250,FUT,NFO-FUT,NFO
16413186,64114,ANGELONE25AUGFUT,ANGELONE,0,8/28/2025,0,0.1,250,FUT,NFO-FUT,NFO
13629442,53240,APLAPOLLO25JULFUT,APLAPOLLO,0,7/31/2025,0,0.1,350,FUT,NFO-FUT,NFO
16413442,64115,APLAPOLLO25AUGFUT,APLAPOLLO,0,8/28/2025,0,0.1,350,FUT,NFO-FUT,NFO
13629698,53241,APOLLOHOSP25JULFUT,APOLLOHOSP,0,7/31/2025,0,0.5,125,FUT,NFO-FUT,NFO
16413698,64116,APOLLOHOSP25AUGFUT,APOLLOHOSP,0,8/28/2025,0,0.5,125,FUT,NFO-FUT,NFO
13630466,53244,ASHOKLEY25JULFUT,ASHOKLEY,0,7/31/2025,0,0.01,2500,FUT,NFO-FUT,NFO
16413954,64117,ASHOKLEY25AUGFUT,ASHOKLEY,0,8/28/2025,0,0.01,2500,FUT,NFO-FUT,NFO
13630722,53245,ASIANPAINT25JULFUT,ASIANPAINT,0,7/31/2025,0,0.1,250,FUT,NFO-FUT,NFO
16414210,64118,ASIANPAINT25AUGFUT,ASIANPAINT,0,8/28/2025,0,0.1,250,FUT,NFO-FUT,NFO
13630978,53246,ASTRAL25JULFUT,ASTRAL,0,7/31/2025,0,0.1,425,FUT,NFO-FUT,NFO
16414466,64119,ASTRAL25AUGFUT,ASTRAL,0,8/28/2025,0,0.1,425,FUT,NFO-FUT,NFO
13631234,53247,ATGL25JULFUT,ATGL,0,7/31/2025,0,0.05,875,FUT,NFO-FUT,NFO
16414722,64120,ATGL25AUGFUT,ATGL,0,8/28/2025,0,0.05,875,FUT,NFO-FUT,NFO
13631490,53248,AUBANK25JULFUT,AUBANK,0,7/31/2025,0,0.05,1000,FUT,NFO-FUT,NFO
16414978,64121,AUBANK25AUGFUT,AUBANK,0,8/28/2025,0,0.05,1000,FUT,NFO-FUT,NFO
13631746,53249,AUROPHARMA25JULFUT,AUROPHARMA,0,7/31/2025,0,0.1,550,FUT,NFO-FUT,NFO
16436738,64206,AUROPHARMA25AUGFUT,AUROPHARMA,0,8/28/2025,0,0.1,550,FUT,NFO-FUT,NFO
13632002,53250,AXISBANK25JULFUT,AXISBANK,0,7/31/2025,0,0.1,625,FUT,NFO-FUT,NFO
16436994,64207,AXISBANK25AUGFUT,AXISBANK,0,8/28/2025,0,0.1,625,FUT,NFO-FUT,NFO
13632258,53251,BAJAJ-AUTO25JULFUT,BAJAJ-AUTO,0,7/31/2025,0,0.5,75,FUT,NFO-FUT,NFO
16439554,64217,BAJAJ-AUTO25AUGFUT,BAJAJ-AUTO,0,8/28/2025,0,0.5,75,FUT,NFO-FUT,NFO
13632514,53252,BAJAJFINSV25JULFUT,BAJAJFINSV,0,7/31/2025,0,0.1,500,FUT,NFO-FUT,NFO
16440066,64219,BAJAJFINSV25AUGFUT,BAJAJFINSV,0,8/28/2025,0,0.1,500,FUT,NFO-FUT,NFO
13632770,53253,BAJFINANCE25JULFUT,BAJFINANCE,0,7/31/2025,0,0.5,750,FUT,NFO-FUT,NFO
16440322,64220,BAJFINANCE25AUGFUT,BAJFINANCE,0,8/28/2025,0,0.5,750,FUT,NFO-FUT,NFO
13633026,53254,BALKRISIND25JULFUT,BALKRISIND,0,7/31/2025,0,0.1,300,FUT,NFO-FUT,NFO
13633282,53255,BANDHANBNK25JULFUT,BANDHANBNK,0,7/31/2025,0,0.01,3600,FUT,NFO-FUT,NFO
16440578,64221,BANDHANBNK25AUGFUT,BANDHANBNK,0,8/28/2025,0,0.01,3600,FUT,NFO-FUT,NFO
13633538,53256,BANKBARODA25JULFUT,BANKBARODA,0,7/31/2025,0,0.01,2925,FUT,NFO-FUT,NFO
16440834,64222,BANKBARODA25AUGFUT,BANKBARODA,0,8/28/2025,0,0.01,2925,FUT,NFO-FUT,NFO
13633794,53257,BANKINDIA25JULFUT,BANKINDIA,0,7/31/2025,0,0.01,5200,FUT,NFO-FUT,NFO
16441090,64223,BANKINDIA25AUGFUT,BANKINDIA,0,8/28/2025,0,0.01,5200,FUT,NFO-FUT,NFO
16441602,64225,BDL25JULFUT,BDL,0,7/31/2025,0,0.1,325,FUT,NFO-FUT,NFO
16441858,64226,BDL25AUGFUT,BDL,0,8/28/2025,0,0.1,325,FUT,NFO-FUT,NFO
13634050,53258,BEL25JULFUT,BEL,0,7/31/2025,0,0.05,2850,FUT,NFO-FUT,NFO
16442114,64227,BEL25AUGFUT,BEL,0,8/28/2025,0,0.05,2850,FUT,NFO-FUT,NFO
13634306,53259,BHARATFORG25JULFUT,BHARATFORG,0,7/31/2025,0,0.1,500,FUT,NFO-FUT,NFO
16442370,64228,BHARATFORG25AUGFUT,BHARATFORG,0,8/28/2025,0,0.1,500,FUT,NFO-FUT,NFO
13634562,53260,BHARTIARTL25JULFUT,BHARTIARTL,0,7/31/2025,0,0.1,475,FUT,NFO-FUT,NFO
16442626,64229,BHARTIARTL25AUGFUT,BHARTIARTL,0,8/28/2025,0,0.1,475,FUT,NFO-FUT,NFO
13634818,53261,BHEL25JULFUT,BHEL,0,7/31/2025,0,0.05,2625,FUT,NFO-FUT,NFO
16442882,64230,BHEL25AUGFUT,BHEL,0,8/28/2025,0,0.05,2625,FUT,NFO-FUT,NFO
13635074,53262,BIOCON25JULFUT,BIOCON,0,7/31/2025,0,0.05,2500,FUT,NFO-FUT,NFO
16443138,64231,BIOCON25AUGFUT,BIOCON,0,8/28/2025,0,0.05,2500,FUT,NFO-FUT,NFO
16443650,64233,BLUESTARCO25JULFUT,BLUESTARCO,0,7/31/2025,0,0.1,325,FUT,NFO-FUT,NFO
16447490,64248,BLUESTARCO25AUGFUT,BLUESTARCO,0,8/28/2025,0,0.1,325,FUT,NFO-FUT,NFO
13635330,53263,BOSCHLTD25JULFUT,BOSCHLTD,0,7/31/2025,0,5,25,FUT,NFO-FUT,NFO
16447746,64249,BOSCHLTD25AUGFUT,BOSCHLTD,0,8/28/2025,0,5,25,FUT,NFO-FUT,NFO
13635586,53264,BPCL25JULFUT,BPCL,0,7/31/2025,0,0.05,1975,FUT,NFO-FUT,NFO
16479234,64372,BPCL25AUGFUT,BPCL,0,8/28/2025,0,0.05,1975,FUT,NFO-FUT,NFO
13635842,53265,BRITANNIA25JULFUT,BRITANNIA,0,7/31/2025,0,0.5,125,FUT,NFO-FUT,NFO
16479490,64373,BRITANNIA25AUGFUT,BRITANNIA,0,8/28/2025,0,0.5,125,FUT,NFO-FUT,NFO
13636610,53268,BSE25JULFUT,BSE,0,7/31/2025,0,0.1,375,FUT,NFO-FUT,NFO
16480770,64378,BSE25AUGFUT,BSE,0,8/28/2025,0,0.1,375,FUT,NFO-FUT,NFO
13636866,53269,BSOFT25JULFUT,BSOFT,0,7/31/2025,0,0.05,1300,FUT,NFO-FUT,NFO
13637122,53270,CAMS25JULFUT,CAMS,0,7/31/2025,0,0.1,150,FUT,NFO-FUT,NFO
16481026,64379,CAMS25AUGFUT,CAMS,0,8/28/2025,0,0.1,150,FUT,NFO-FUT,NFO
13637890,53273,CANBK25JULFUT,CANBK,0,7/31/2025,0,0.01,6750,FUT,NFO-FUT,NFO
16481282,64380,CANBK25AUGFUT,CANBK,0,8/28/2025,0,0.01,6750,FUT,NFO-FUT,NFO
13638146,53274,CDSL25JULFUT,CDSL,0,7/31/2025,0,0.1,475,FUT,NFO-FUT,NFO
16481538,64381,CDSL25AUGFUT,CDSL,0,8/28/2025,0,0.1,475,FUT,NFO-FUT,NFO
13638402,53275,CESC25JULFUT,CESC,0,7/31/2025,0,0.01,3625,FUT,NFO-FUT,NFO
16481794,64382,CESC25AUGFUT,CESC,0,8/28/2025,0,0.01,3625,FUT,NFO-FUT,NFO
13638658,53276,CGPOWER25JULFUT,CGPOWER,0,7/31/2025,0,0.05,850,FUT,NFO-FUT,NFO
16482050,64383,CGPOWER25AUGFUT,CGPOWER,0,8/28/2025,0,0.05,850,FUT,NFO-FUT,NFO
13638914,53277,CHAMBLFERT25JULFUT,CHAMBLFERT,0,7/31/2025,0,0.05,950,FUT,NFO-FUT,NFO
13639170,53278,CHOLAFIN25JULFUT,CHOLAFIN,0,7/31/2025,0,0.1,625,FUT,NFO-FUT,NFO
16483074,64387,CHOLAFIN25AUGFUT,CHOLAFIN,0,8/28/2025,0,0.1,625,FUT,NFO-FUT,NFO
13639426,53279,CIPLA25JULFUT,CIPLA,0,7/31/2025,0,0.1,375,FUT,NFO-FUT,NFO
16483330,64388,CIPLA25AUGFUT,CIPLA,0,8/28/2025,0,0.1,375,FUT,NFO-FUT,NFO
13639682,53280,COALINDIA25JULFUT,COALINDIA,0,7/31/2025,0,0.05,1350,FUT,NFO-FUT,NFO
16483842,64390,COALINDIA25AUGFUT,COALINDIA,0,8/28/2025,0,0.05,1350,FUT,NFO-FUT,NFO
13639938,53281,COFORGE25JULFUT,COFORGE,0,7/31/2025,0,0.5,375,FUT,NFO-FUT,NFO
16484098,64391,COFORGE25AUGFUT,COFORGE,0,8/28/2025,0,0.5,375,FUT,NFO-FUT,NFO
13640706,53284,COLPAL25JULFUT,COLPAL,0,7/31/2025,0,0.1,225,FUT,NFO-FUT,NFO
16484354,64392,COLPAL25AUGFUT,COLPAL,0,8/28/2025,0,0.1,225,FUT,NFO-FUT,NFO
13641986,53289,CONCOR25JULFUT,CONCOR,0,7/31/2025,0,0.05,1000,FUT,NFO-FUT,NFO
16484610,64393,CONCOR25AUGFUT,CONCOR,0,8/28/2025,0,0.05,1000,FUT,NFO-FUT,NFO
13642242,53290,CROMPTON25JULFUT,CROMPTON,0,7/31/2025,0,0.05,1800,FUT,NFO-FUT,NFO
