instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
16410370,64103,NIFTY25AUGFUT,NIFTY,0,8/28/2025,0,0.1,75,FUT,NFO-FUT,NFO
16409602,64100,BANKNIFTY25AUGFUT,BANKNIFTY,0,8/28/2025,0,0.2,35,FUT,NFO-FUT,NFO
13569026,53004,360ONE25AUGFUT,360ONE,0,8/28/2025,0,0.05,500,FUT,NFO-FUT,NFO
16410882,64105,ABB25AUGFUT,ABB,0,8/28/2025,0,0.5,125,FUT,NFO-FUT,NFO
16411138,64106,ABCAPITAL25AUGFUT,ABCAPITAL,0,8/28/2025,0,0.01,3100,FUT,NFO-FUT,NFO
16411394,64107,ABFRL25AUGFUT,ABFRL,0,8/28/2025,0,0.01,2600,FUT,NFO-FUT,NFO
16411650,64108,ADANIENSOL25AUGFUT,ADANIENSOL,0,8/28/2025,0,0.05,675,FUT,NFO-FUT,NFO
16411906,64109,ADANIENT25AUGFUT,ADANIENT,0,8/28/2025,0,0.1,300,FUT,NFO-FUT,NFO
16412162,64110,ADANIGREEN25AUGFUT,ADANIGREEN,0,8/28/2025,0,0.1,600,FUT,NFO-FUT,NFO
16412418,64111,ADANIPORTS25AUGFUT,ADANIPORTS,0,8/28/2025,0,0.1,475,FUT,NFO-FUT,NFO
16412674,64112,ALKEM25AUGFUT,ALKEM,0,8/28/2025,0,0.5,125,FUT,NFO-FUT,NFO
13575170,53028,AMBER25AUGFUT,AMBER,0,8/28/2025,0,0.5,100,FUT,NFO-FUT,NFO
16412930,64113,AMBUJACEM25AUGFUT,AMBUJACEM,0,8/28/2025,0,0.05,1050,FUT,NFO-FUT,NFO
16413186,64114,ANGELONE25AUGFUT,ANGELONE,0,8/28/2025,0,0.1,250,FUT,NFO-FUT,NFO
16413442,64115,APLAPOLLO25AUGFUT,APLAPOLLO,0,8/28/2025,0,0.1,350,FUT,NFO-FUT,NFO
16413698,64116,APOLLOHOSP25AUGFUT,APOLLOHOSP,0,8/28/2025,0,0.5,125,FUT,NFO-FUT,NFO
16413954,64117,ASHOKLEY25AUGFUT,ASHOKLEY,0,8/28/2025,0,0.01,2500,FUT,NFO-FUT,NFO
16414210,64118,ASIANPAINT25AUGFUT,ASIANPAINT,0,8/28/2025,0,0.1,250,FUT,NFO-FUT,NFO
16414466,64119,ASTRAL25AUGFUT,ASTRAL,0,8/28/2025,0,0.1,425,FUT,NFO-FUT,NFO
16414722,64120,ATGL25AUGFUT,ATGL,0,8/28/2025,0,0.05,875,FUT,NFO-FUT,NFO
16414978,64121,AUBANK25AUGFUT,AUBANK,0,8/28/2025,0,0.05,1000,FUT,NFO-FUT,NFO
16436738,64206,AUROPHARMA25AUGFUT,AUROPHARMA,0,8/28/2025,0,0.1,550,FUT,NFO-FUT,NFO
16436994,64207,AXISBANK25AUGFUT,AXISBANK,0,8/28/2025,0,0.1,625,FUT,NFO-FUT,NFO
16439554,64217,BAJAJ-AUTO25AUGFUT,BAJAJ-AUTO,0,8/28/2025,0,0.5,75,FUT,NFO-FUT,NFO
16440066,64219,BAJAJFINSV25AUGFUT,BAJAJFINSV,0,8/28/2025,0,0.1,500,FUT,NFO-FUT,NFO
16440322,64220,BAJFINANCE25AUGFUT,BAJFINANCE,0,8/28/2025,0,0.5,750,FUT,NFO-FUT,NFO
16440578,64221,BANDHANBNK25AUGFUT,BANDHANBNK,0,8/28/2025,0,0.01,3600,FUT,NFO-FUT,NFO
16440834,64222,BANKBARODA25AUGFUT,BANKBARODA,0,8/28/2025,0,0.01,2925,FUT,NFO-FUT,NFO
16441090,64223,BANKINDIA25AUGFUT,BANKINDIA,0,8/28/2025,0,0.01,5200,FUT,NFO-FUT,NFO
16441858,64226,BDL25AUGFUT,BDL,0,8/28/2025,0,0.1,325,FUT,NFO-FUT,NFO
16442114,64227,BEL25AUGFUT,BEL,0,8/28/2025,0,0.05,2850,FUT,NFO-FUT,NFO
16442370,64228,BHARATFORG25AUGFUT,BHARATFORG,0,8/28/2025,0,0.1,500,FUT,NFO-FUT,NFO
16442626,64229,BHARTIARTL25AUGFUT,BHARTIARTL,0,8/28/2025,0,0.1,475,FUT,NFO-FUT,NFO
16442882,64230,BHEL25AUGFUT,BHEL,0,8/28/2025,0,0.05,2625,FUT,NFO-FUT,NFO
16443138,64231,BIOCON25AUGFUT,BIOCON,0,8/28/2025,0,0.05,2500,FUT,NFO-FUT,NFO
16447490,64248,BLUESTARCO25AUGFUT,BLUESTARCO,0,8/28/2025,0,0.1,325,FUT,NFO-FUT,NFO
16447746,64249,BOSCHLTD25AUGFUT,BOSCHLTD,0,8/28/2025,0,5,25,FUT,NFO-FUT,NFO
16479234,64372,BPCL25AUGFUT,BPCL,0,8/28/2025,0,0.05,1975,FUT,NFO-FUT,NFO
16479490,64373,BRITANNIA25AUGFUT,BRITANNIA,0,8/28/2025,0,0.5,125,FUT,NFO-FUT,NFO
16480770,64378,BSE25AUGFUT,BSE,0,8/28/2025,0,0.1,375,FUT,NFO-FUT,NFO
16481026,64379,CAMS25AUGFUT,CAMS,0,8/28/2025,0,0.1,150,FUT,NFO-FUT,NFO
16481282,64380,CANBK25AUGFUT,CANBK,0,8/28/2025,0,0.01,6750,FUT,NFO-FUT,NFO
16481538,64381,CDSL25AUGFUT,CDSL,0,8/28/2025,0,0.1,475,FUT,NFO-FUT,NFO
16481794,64382,CESC25AUGFUT,CESC,0,8/28/2025,0,0.01,3625,FUT,NFO-FUT,NFO
16482050,64383,CGPOWER25AUGFUT,CGPOWER,0,8/28/2025,0,0.05,850,FUT,NFO-FUT,NFO
16483074,64387,CHOLAFIN25AUGFUT,CHOLAFIN,0,8/28/2025,0,0.1,625,FUT,NFO-FUT,NFO
16483330,64388,CIPLA25AUGFUT,CIPLA,0,8/28/2025,0,0.1,375,FUT,NFO-FUT,NFO
