instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
14587906,56984,NIFTY2570325650CE,NIFTY,0,7/3/2025,25650,0.05,75,CE,NFO-OPT,NFO
14588162,56985,NIFTY2570325650PE,NIFTY,0,7/3/2025,25650,0.05,75,PE,NFO-OPT,NFO
14572802,56925,NIFTY2570325600CE,NIFTY,0,7/3/2025,25600,0.05,75,CE,NFO-OPT,NFO
14581762,56960,NIFTY2570325600PE,NIFTY,0,7/3/2025,25600,0.05,75,PE,NFO-OPT,NFO
14591490,56998,NIFTY2570325700CE,NIFTY,0,7/3/2025,25700,0.05,75,CE,NFO-OPT,NFO
14594050,57008,NIFTY2570325700PE,NIFTY,0,7/3/2025,25700,0.05,75,PE,NFO-OPT,NFO
14563330,56888,NIFTY2570325550CE,NIFTY,0,7/3/2025,25550,0.05,75,CE,NFO-OPT,NFO
14572546,56924,NIFTY2570325550PE,NIFTY,0,7/3/2025,25550,0.05,75,PE,NFO-OPT,NFO
14594306,57009,NIFTY2570325750CE,NIFTY,0,7/3/2025,25750,0.05,75,CE,NFO-OPT,NFO
14596866,57019,NIFTY2570325750PE,NIFTY,0,7/3/2025,25750,0.05,75,PE,NFO-OPT,NFO
14551810,56843,NIFTY2570325500CE,NIFTY,0,7/3/2025,25500,0.05,75,CE,NFO-OPT,NFO
14563074,56887,NIFTY2570325500PE,NIFTY,0,7/3/2025,25500,0.05,75,PE,NFO-OPT,NFO
14597634,57022,NIFTY2570325800CE,NIFTY,0,7/3/2025,25800,0.05,75,CE,NFO-OPT,NFO
14614786,57089,NIFTY2570325800PE,NIFTY,0,7/3/2025,25800,0.05,75,PE,NFO-OPT,NFO
14542082,56805,NIFTY2570325450CE,NIFTY,0,7/3/2025,25450,0.05,75,CE,NFO-OPT,NFO
14551554,56842,NIFTY2570325450PE,NIFTY,0,7/3/2025,25450,0.05,75,PE,NFO-OPT,NFO
14624002,57125,NIFTY2570325850CE,NIFTY,0,7/3/2025,25850,0.05,75,CE,NFO-OPT,NFO
14624258,57126,NIFTY2570325850PE,NIFTY,0,7/3/2025,25850,0.05,75,PE,NFO-OPT,NFO
14535938,56781,NIFTY2570325400CE,NIFTY,0,7/3/2025,25400,0.05,75,CE,NFO-OPT,NFO
14541826,56804,NIFTY2570325400PE,NIFTY,0,7/3/2025,25400,0.05,75,PE,NFO-OPT,NFO
14654978,57246,NIFTY2570325900CE,NIFTY,0,7/3/2025,25900,0.05,75,CE,NFO-OPT,NFO
14655234,57247,NIFTY2570325900PE,NIFTY,0,7/3/2025,25900,0.05,75,PE,NFO-OPT,NFO
14534658,56776,NIFTY2570325350CE,NIFTY,0,7/3/2025,25350,0.05,75,CE,NFO-OPT,NFO
14535682,56780,NIFTY2570325350PE,NIFTY,0,7/3/2025,25350,0.05,75,PE,NFO-OPT,NFO
14660866,57269,NIFTY2570325950CE,NIFTY,0,7/3/2025,25950,0.05,75,CE,NFO-OPT,NFO
14679554,57342,NIFTY2570325950PE,NIFTY,0,7/3/2025,25950,0.05,75,PE,NFO-OPT,NFO
14529282,56755,NIFTY2570325300CE,NIFTY,0,7/3/2025,25300,0.05,75,CE,NFO-OPT,NFO
14534402,56775,NIFTY2570325300PE,NIFTY,0,7/3/2025,25300,0.05,75,PE,NFO-OPT,NFO
14715906,57484,NIFTY2570326000CE,NIFTY,0,7/3/2025,26000,0.05,75,CE,NFO-OPT,NFO
14729218,57536,NIFTY2570326000PE,NIFTY,0,7/3/2025,26000,0.05,75,PE,NFO-OPT,NFO
14856450,58033,NIFTY2570326050PE,NIFTY,0,7/3/2025,26050,0.05,75,PE,NFO-OPT,NFO
15041794,58757,NIFTY2570327400CE,NIFTY,0,7/3/2025,27400,0.05,75,CE,NFO-OPT,NFO
15042050,58758,NIFTY2570327400PE,NIFTY,0,7/3/2025,27400,0.05,75,PE,NFO-OPT,NFO
15041282,58755,NIFTY2570327350CE,NIFTY,0,7/3/2025,27350,0.05,75,CE,NFO-OPT,NFO
15041538,58756,NIFTY2570327350PE,NIFTY,0,7/3/2025,27350,0.05,75,PE,NFO-OPT,NFO
15040770,58753,NIFTY2570327300CE,NIFTY,0,7/3/2025,27300,0.05,75,CE,NFO-OPT,NFO
15041026,58754,NIFTY2570327300PE,NIFTY,0,7/3/2025,27300,0.05,75,PE,NFO-OPT,NFO
15039746,58749,NIFTY2570327250CE,NIFTY,0,7/3/2025,27250,0.05,75,CE,NFO-OPT,NFO
15040002,58750,NIFTY2570327250PE,NIFTY,0,7/3/2025,27250,0.05,75,PE,NFO-OPT,NFO
15039234,58747,NIFTY2570327200CE,NIFTY,0,7/3/2025,27200,0.05,75,CE,NFO-OPT,NFO
15039490,58748,NIFTY2570327200PE,NIFTY,0,7/3/2025,27200,0.05,75,PE,NFO-OPT,NFO
15038722,58745,NIFTY2570327150CE,NIFTY,0,7/3/2025,27150,0.05,75,CE,NFO-OPT,NFO
15038978,58746,NIFTY2570327150PE,NIFTY,0,7/3/2025,27150,0.05,75,PE,NFO-OPT,NFO
15038210,58743,NIFTY2570327100CE,NIFTY,0,7/3/2025,27100,0.05,75,CE,NFO-OPT,NFO
15038466,58744,NIFTY2570327100PE,NIFTY,0,7/3/2025,27100,0.05,75,PE,NFO-OPT,NFO
15037698,58741,NIFTY2570327050CE,NIFTY,0,7/3/2025,27050,0.05,75,CE,NFO-OPT,NFO
15037954,58742,NIFTY2570327050PE,NIFTY,0,7/3/2025,27050,0.05,75,PE,NFO-OPT,NFO
15037186,58739,NIFTY2570327000CE,NIFTY,0,7/3/2025,27000,0.05,75,CE,NFO-OPT,NFO
15037442,58740,NIFTY2570327000PE,NIFTY,0,7/3/2025,27000,0.05,75,PE,NFO-OPT,NFO
15036674,58737,NIFTY2570326950CE,NIFTY,0,7/3/2025,26950,0.05,75,CE,NFO-OPT,NFO
15036930,58738,NIFTY2570326950PE,NIFTY,0,7/3/2025,26950,0.05,75,PE,NFO-OPT,NFO
15036162,58735,NIFTY2570326900CE,NIFTY,0,7/3/2025,26900,0.05,75,CE,NFO-OPT,NFO
15036418,58736,NIFTY2570326900PE,NIFTY,0,7/3/2025,26900,0.05,75,PE,NFO-OPT,NFO
15035650,58733,NIFTY2570326850CE,NIFTY,0,7/3/2025,26850,0.05,75,CE,NFO-OPT,NFO
15035906,58734,NIFTY2570326850PE,NIFTY,0,7/3/2025,26850,0.05,75,PE,NFO-OPT,NFO
15035138,58731,NIFTY2570326800CE,NIFTY,0,7/3/2025,26800,0.05,75,CE,NFO-OPT,NFO
15035394,58732,NIFTY2570326800PE,NIFTY,0,7/3/2025,26800,0.05,75,PE,NFO-OPT,NFO
15033858,58726,NIFTY2570326750CE,NIFTY,0,7/3/2025,26750,0.05,75,CE,NFO-OPT,NFO
15034114,58727,NIFTY2570326750PE,NIFTY,0,7/3/2025,26750,0.05,75,PE,NFO-OPT,NFO
15033090,58723,NIFTY2570326700CE,NIFTY,0,7/3/2025,26700,0.05,75,CE,NFO-OPT,NFO
15033346,58724,NIFTY2570326700PE,NIFTY,0,7/3/2025,26700,0.05,75,PE,NFO-OPT,NFO
15032066,58719,NIFTY2570326650CE,NIFTY,0,7/3/2025,26650,0.05,75,CE,NFO-OPT,NFO
15032834,58722,NIFTY2570326650PE,NIFTY,0,7/3/2025,26650,0.05,75,PE,NFO-OPT,NFO
15031554,58717,NIFTY2570326600CE,NIFTY,0,7/3/2025,26600,0.05,75,CE,NFO-OPT,NFO
15031810,58718,NIFTY2570326600PE,NIFTY,0,7/3/2025,26600,0.05,75,PE,NFO-OPT,NFO
15030786,58714,NIFTY2570326550CE,NIFTY,0,7/3/2025,26550,0.05,75,CE,NFO-OPT,NFO
15031042,58715,NIFTY2570326550PE,NIFTY,0,7/3/2025,26550,0.05,75,PE,NFO-OPT,NFO
15030274,58712,NIFTY2570326500CE,NIFTY,0,7/3/2025,26500,0.05,75,CE,NFO-OPT,NFO
15030530,58713,NIFTY2570326500PE,NIFTY,0,7/3/2025,26500,0.05,75,PE,NFO-OPT,NFO
15029250,58708,NIFTY2570326450CE,NIFTY,0,7/3/2025,26450,0.05,75,CE,NFO-OPT,NFO
15029506,58709,NIFTY2570326450PE,NIFTY,0,7/3/2025,26450,0.05,75,PE,NFO-OPT,NFO
15027202,58700,NIFTY2570326400CE,NIFTY,0,7/3/2025,26400,0.05,75,CE,NFO-OPT,NFO
15027458,58701,NIFTY2570326400PE,NIFTY,0,7/3/2025,26400,0.05,75,PE,NFO-OPT,NFO
15026690,58698,NIFTY2570326350CE,NIFTY,0,7/3/2025,26350,0.05,75,CE,NFO-OPT,NFO
15026946,58699,NIFTY2570326350PE,NIFTY,0,7/3/2025,26350,0.05,75,PE,NFO-OPT,NFO
15026178,58696,NIFTY2570326300CE,NIFTY,0,7/3/2025,26300,0.05,75,CE,NFO-OPT,NFO
15026434,58697,NIFTY2570326300PE,NIFTY,0,7/3/2025,26300,0.05,75,PE,NFO-OPT,NFO
15023874,58687,NIFTY2570326250CE,NIFTY,0,7/3/2025,26250,0.05,75,CE,NFO-OPT,NFO
15024130,58688,NIFTY2570326250PE,NIFTY,0,7/3/2025,26250,0.05,75,PE,NFO-OPT,NFO
15023362,58685,NIFTY2570326200CE,NIFTY,0,7/3/2025,26200,0.05,75,CE,NFO-OPT,NFO
15023618,58686,NIFTY2570326200PE,NIFTY,0,7/3/2025,26200,0.05,75,PE,NFO-OPT,NFO
15022850,58683,NIFTY2570326150CE,NIFTY,0,7/3/2025,26150,0.05,75,CE,NFO-OPT,NFO
15023106,58684,NIFTY2570326150PE,NIFTY,0,7/3/2025,26150,0.05,75,PE,NFO-OPT,NFO
14856706,58034,NIFTY2570326100CE,NIFTY,0,7/3/2025,26100,0.05,75,CE,NFO-OPT,NFO
