instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
114727175,448153,ALUMINI25JUNFUT,ALUMINI,0,6/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
115365127,450645,ALUMINI25JULFUT,ALUMINI,0,7/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
115929351,452849,ALUMINI25AUGFUT,ALUMINI,0,8/29/2025,0,0.05,1,FUT,MCX-FUT,MCX
116979975,456953,ALUMINI25SEPFUT,ALUMINI,0,9/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
117323271,458294,ALUMINI25OCTFUT,ALUMINI,0,10/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
114727431,448154,ALUMINIUM25JUNFUT,ALUMINIUM,0,6/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
115365383,450646,ALUMINIUM25JULFUT,ALUMINIUM,0,7/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
115929095,452848,ALUMINIUM25AUGFUT,ALUMINIUM,0,8/29/2025,0,0.05,1,FUT,MCX-FUT,MCX
116980231,456954,ALUMINIUM25SEPFUT,ALUMINIUM,0,9/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
117323015,458293,ALUMINIUM25OCTFUT,ALUMINIUM,0,10/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
114727687,448155,COPPER25JUNFUT,COPPER,0,6/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
115365639,450647,COPPER25JULFUT,COPPER,0,7/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
115928327,452845,COPPER25AUGFUT,COPPER,0,8/29/2025,0,0.05,1,FUT,MCX-FUT,MCX
116980487,456955,COPPER25SEPFUT,COPPER,0,9/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
117323527,458295,COPPER25OCTFUT,COPPER,0,10/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
118569223,463161,COTTON25NOVFUT,COTTON,0,11/28/2025,0,10,1,FUT,MCX-FUT,MCX
118569479,463162,COTTON25DECFUT,COTTON,0,12/31/2025,0,10,1,FUT,MCX-FUT,MCX
118569735,463163,COTTON26JANFUT,COTTON,0,1/30/2026,0,10,1,FUT,MCX-FUT,MCX
114299655,446483,COTTONCNDY25JULFUT,COTTONCNDY,0,7/31/2025,0,10,1,FUT,MCX-FUT,MCX
115367431,450654,COTTONCNDY25SEPFUT,COTTONCNDY,0,9/30/2025,0,10,1,FUT,MCX-FUT,MCX
115367687,450655,COTTONOIL25JUNFUT,COTTONOIL,0,6/30/2025,0,0.1,1,FUT,MCX-FUT,MCX
115931143,452856,COTTONOIL25JULFUT,COTTONOIL,0,7/31/2025,0,0.1,1,FUT,MCX-FUT,MCX
116984071,456969,COTTONOIL25AUGFUT,COTTONOIL,0,8/29/2025,0,0.1,1,FUT,MCX-FUT,MCX
117326343,458306,COTTONOIL25SEPFUT,COTTONOIL,0,9/30/2025,0,0.1,1,FUT,MCX-FUT,MCX
114573319,447552,CRUDEOIL25JULFUT,CRUDEOIL,0,7/21/2025,0,1,1,FUT,MCX-FUT,MCX
115234311,450134,CRUDEOIL25AUGFUT,CRUDEOIL,0,8/19/2025,0,1,1,FUT,MCX-FUT,MCX
115807495,452373,CRUDEOIL25SEPFUT,CRUDEOIL,0,9/19/2025,0,1,1,FUT,MCX-FUT,MCX
116701447,455865,CRUDEOIL25OCTFUT,CRUDEOIL,0,10/20/2025,0,1,1,FUT,MCX-FUT,MCX
117218823,457886,CRUDEOIL25NOVFUT,CRUDEOIL,0,11/19/2025,0,1,1,FUT,MCX-FUT,MCX
118405895,462523,CRUDEOIL25DECFUT,CRUDEOIL,0,12/18/2025,0,1,1,FUT,MCX-FUT,MCX
114573575,447553,CRUDEOILM25JULFUT,CRUDEOILM,0,7/21/2025,0,1,1,FUT,MCX-FUT,MCX
115234567,450135,CRUDEOILM25AUGFUT,CRUDEOILM,0,8/19/2025,0,1,1,FUT,MCX-FUT,MCX
115807751,452374,CRUDEOILM25SEPFUT,CRUDEOILM,0,9/19/2025,0,1,1,FUT,MCX-FUT,MCX
116701703,455866,CRUDEOILM25OCTFUT,CRUDEOILM,0,10/20/2025,0,1,1,FUT,MCX-FUT,MCX
117219079,457887,CRUDEOILM25NOVFUT,CRUDEOILM,0,11/19/2025,0,1,1,FUT,MCX-FUT,MCX
118406151,462524,CRUDEOILM25DECFUT,CRUDEOILM,0,12/18/2025,0,1,1,FUT,MCX-FUT,MCX
112236807,438425,GOLD25AUGFUT,GOLD,0,8/5/2025,0,1,1,FUT,MCX-FUT,MCX
112880391,440939,GOLD25OCTFUT,GOLD,0,10/3/2025,0,1,1,FUT,MCX-FUT,MCX
113920775,445003,GOLD25DECFUT,GOLD,0,12/5/2025,0,1,1,FUT,MCX-FUT,MCX
115080711,449534,GOLD26FEBFUT,GOLD,0,2/5/2026,0,1,1,FUT,MCX-FUT,MCX
116433415,454818,GOLD26APRFUT,GOLD,0,4/2/2026,0,1,1,FUT,MCX-FUT,MCX
117574919,459277,GOLD26JUNFUT,GOLD,0,6/5/2026,0,1,1,FUT,MCX-FUT,MCX
115368199,450657,GOLDGUINEA25JUNFUT,GOLDGUINEA,0,6/30/2025,0,1,1,FUT,MCX-FUT,MCX
115931399,452857,GOLDGUINEA25JULFUT,GOLDGUINEA,0,7/31/2025,0,1,1,FUT,MCX-FUT,MCX
116983303,456966,GOLDGUINEA25AUGFUT,GOLDGUINEA,0,8/29/2025,0,1,1,FUT,MCX-FUT,MCX
117325319,458302,GOLDGUINEA25SEPFUT,GOLDGUINEA,0,9/30/2025,0,1,1,FUT,MCX-FUT,MCX
116027143,453231,GOLDM25JULFUT,GOLDM,0,7/4/2025,0,1,1,FUT,MCX-FUT,MCX
117018887,457105,GOLDM25AUGFUT,GOLDM,0,8/5/2025,0,1,1,FUT,MCX-FUT,MCX
117426439,458697,GOLDM25SEPFUT,GOLDM,0,9/5/2025,0,1,1,FUT,MCX-FUT,MCX
115368455,450658,GOLDPETAL25JUNFUT,GOLDPETAL,0,6/30/2025,0,1,1,FUT,MCX-FUT,MCX
115931655,452858,GOLDPETAL25JULFUT,GOLDPETAL,0,7/31/2025,0,1,1,FUT,MCX-FUT,MCX
116983559,456967,GOLDPETAL25AUGFUT,GOLDPETAL,0,8/29/2025,0,1,1,FUT,MCX-FUT,MCX
117325575,458303,GOLDPETAL25SEPFUT,GOLDPETAL,0,9/30/2025,0,1,1,FUT,MCX-FUT,MCX
115910919,452777,GOLDTEN25JUNFUT,GOLDTEN,0,6/30/2025,0,1,1,FUT,MCX-FUT,MCX
116983815,456968,GOLDTEN25JULFUT,GOLDTEN,0,7/31/2025,0,1,1,FUT,MCX-FUT,MCX
117325831,458304,GOLDTEN25AUGFUT,GOLDTEN,0,8/29/2025,0,1,1,FUT,MCX-FUT,MCX
113196039,442172,KAPAS25NOVFUT,KAPAS,0,11/28/2025,0,0.5,1,FUT,MCX-FUT,MCX
114730503,448166,KAPAS26FEBFUT,KAPAS,0,2/27/2026,0,0.5,1,FUT,MCX-FUT,MCX
115930631,452854,KAPAS26APRFUT,KAPAS,0,4/30/2026,0,0.5,1,FUT,MCX-FUT,MCX
114728199,448157,LEAD25JUNFUT,LEAD,0,6/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
115365895,450648,LEAD25JULFUT,LEAD,0,7/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
115929863,452851,LEAD25AUGFUT,LEAD,0,8/29/2025,0,0.05,1,FUT,MCX-FUT,MCX
116980743,456956,LEAD25SEPFUT,LEAD,0,9/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
117323783,458296,LEAD25OCTFUT,LEAD,0,10/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
114727943,448156,LEADMINI25JUNFUT,LEADMINI,0,6/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
115366151,450649,LEADMINI25JULFUT,LEADMINI,0,7/31/2025,0,0.05,1,FUT,MCX-FUT,MCX
115928583,452846,LEADMINI25AUGFUT,LEADMINI,0,8/29/2025,0,0.05,1,FUT,MCX-FUT,MCX
116980999,456957,LEADMINI25SEPFUT,LEADMINI,0,9/30/2025,0,0.05,1,FUT,MCX-FUT,MCX
