instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13623298,53216,NIFTY25JULFUT,NIFTY,0,7/31/2025,0,0.1,75,FUT,NFO-FUT,NFO
13622530,53213,BANKNIFTY25JULFUT,BANKNIFTY,0,7/31/2025,0,0.2,35,FUT,NFO-FUT,NFO
1793,7,AARTIIND,AARTI INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
3329,13,ABB,ABB INDIA,,,,0.5,1,EQ,NSE,NSE
4865,19,STYRENIX,STYRENIX PERFORMANCE,,,,0.1,1,EQ,NSE,NSE
5633,22,ACC,ACC,,,,0.1,1,EQ,NSE,NSE
6401,25,ADANIENT,ADANI ENTERPRISES,,,,0.1,1,EQ,NSE,NSE
8705,34,ADOR,ADOR WELDING,,,,0.05,1,EQ,NSE,NSE
10241,40,AEGISLOG,AEGIS LOGISTICS,,,,0.05,1,EQ,NSE,NSE
12289,48,HAPPSTMNDS,HAPPIEST MINDS TECHNO,,,,0.05,1,EQ,NSE,NSE
25601,100,ARE&M,AMARA RAJA ENERGY MOB,,,,0.1,1,EQ,NSE,NSE
32769,128,ROUTE,ROUTE MOBILE,,,,0.05,1,EQ,NSE,NSE
36865,144,GODREJAGRO,GODREJ AGROVET,,,,0.05,1,EQ,NSE,NSE
39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,,,,0.05,1,EQ,NSE,NSE
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,,,,0.5,1,EQ,NSE,NSE
41729,163,APOLLOTYRE,APOLLO TYRES,,,,0.05,1,EQ,NSE,NSE
47105,184,TCPLPACK,TCPL PACKAGING,,,,0.1,1,EQ,NSE,NSE
49409,193,ARVIND,ARVIND,,,,0.05,1,EQ,NSE,NSE
50945,199,MASFIN,MAS FINANCIAL SERV,,,,0.05,1,EQ,NSE,NSE
51969,203,ASHAPURMIN,ASHAPURA MINECHEM,,,,0.05,1,EQ,NSE,NSE
60417,236,ASIANPAINT,ASIAN PAINTS,,,,0.1,1,EQ,NSE,NSE
67329,263,ATUL,ATUL,,,,0.5,1,EQ,NSE,NSE
70401,275,AUROPHARMA,AUROBINDO PHARMA,,,,0.1,1,EQ,NSE,NSE
70913,277,GICRE,GENERAL INS CORP OF INDIA,,,,0.05,1,EQ,NSE,NSE
71169,278,AUTOAXLES,AUTOMOTIVE AXLES,,,,0.1,1,EQ,NSE,NSE
78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,,,,1,1,EQ,NSE,NSE
79873,312,TIINDIA,TUBE INVEST OF INDIA,,,,0.1,1,EQ,NSE,NSE
81153,317,BAJFINANCE,BAJAJ FINANCE,,,,0.5,1,EQ,NSE,NSE
82945,324,ANGELONE,ANGEL ONE,,,,0.1,1,EQ,NSE,NSE
85505,334,VALIANTORG-BE,VALIANT ORGANICS,,,,0.05,1,EQ,NSE,NSE
85761,335,BALKRISIND,BALKRISHNA IND.,,,,0.1,1,EQ,NSE,NSE
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,,,,0.05,1,EQ,NSE,NSE
87553,342,CAMS,COMPUTER AGE MNGT SER,,,,0.1,1,EQ,NSE,NSE
89601,350,BANARISUG,BANNARI AMMAN SUGARS,,,,0.1,1,EQ,NSE,NSE
91393,357,NAM-INDIA,NIPPON L I A M,,,,0.05,1,EQ,NSE,NSE
94209,368,BASF,BASF INDIA,,,,0.5,1,EQ,NSE,NSE
94977,371,BATAINDIA,BATA INDIA,,,,0.1,1,EQ,NSE,NSE
97281,380,BBTC,BOMBAY BURMAH TRADING COR,,,,0.1,1,EQ,NSE,NSE
98049,383,BEL,BHARAT ELECTRONICS,,,,0.05,1,EQ,NSE,NSE
98561,385,MAHLOG,MAHINDRA LOGISTIC,,,,0.05,1,EQ,NSE,NSE
101121,395,BEML,BEML,,,,0.1,1,EQ,NSE,NSE
103425,404,BERGEPAINT,BERGER PAINTS (I),,,,0.05,1,EQ,NSE,NSE
108033,422,BHARATFORG,BHARAT FORGE,,,,0.1,1,EQ,NSE,NSE
108801,425,KHADIM,KHADIM INDIA,,,,0.05,1,EQ,NSE,NSE
111617,436,IFGLEXPOR,IFGL REFRACTORIES,,,,0.05,1,EQ,NSE,NSE
112129,438,BHEL,BHEL,,,,0.05,1,EQ,NSE,NSE
113921,445,5PAISA,5PAISA CAPITAL,,,,0.05,1,EQ,NSE,NSE
119553,467,HDFCLIFE,HDFC LIFE INS CO,,,,0.05,1,EQ,NSE,NSE
121345,474,3MINDIA,3M INDIA,,,,5,1,EQ,NSE,NSE
122881,480,BIRLACORPN,BIRLA CORPORATION,,,,0.1,1,EQ,NSE,NSE
125185,489,ICEMAKE,ICE MAKE REFRIGERAT,,,,0.05,1,EQ,NSE,NSE
126721,495,BLUEDART,BLUE DART EXPRESS,,,,0.5,1,EQ,NSE,NSE
130305,509,MAZDOCK,MAZAGON DOCK SHIPBUIL,,,,0.1,1,EQ,NSE,NSE
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,,,,0.05,1,EQ,NSE,NSE
134913,527,UTIAMC,UTI ASSET MNGMT CO,,,,0.1,1,EQ,NSE,NSE
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,,,,0.5,1,EQ,NSE,NSE
147969,578,LIKHITHA,LIKHITHA INFRASTRUC,,,,0.05,1,EQ,NSE,NSE
149249,583,CANFINHOME,CAN FIN HOMES,,,,0.05,1,EQ,NSE,NSE
151553,592,GRAPHITE,GRAPHITE INDIA,,,,0.05,1,EQ,NSE,NSE
152321,595,CARBORUNIV,CARBORUNDUM UNIVERSAL,,,,0.05,1,EQ,NSE,NSE
158465,619,CENTENKA,CENTURY ENKA,,,,0.05,1,EQ,NSE,NSE
160001,625,ABREL,ADITYA BIRLA REAL EST,,,,0.1,1,EQ,NSE,NSE
162305,634,IGARASHI,IGARASHI MOTORS INDIA,,,,0.05,1,EQ,NSE,NSE
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,,,,0.05,1,EQ,NSE,NSE
173057,676,EXIDEIND,EXIDE INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,,,,0.1,1,EQ,NSE,NSE
177665,694,CIPLA,CIPLA,,,,0.1,1,EQ,NSE,NSE
179969,703,DICIND,DIC INDIA,,,,0.05,1,EQ,NSE,NSE
183041,715,HEUBACHIND,HEUBACH COLORANTS IND,,,,0.05,1,EQ,NSE,NSE
189185,739,COROMANDEL,COROMANDEL INTERNTL.,,,,0.1,1,EQ,NSE,NSE
189953,742,COSMOFIRST,COSMO FIRST,,,,0.1,1,EQ,NSE,NSE
193793,757,CRISIL,CRISIL,,,,0.5,1,EQ,NSE,NSE
194561,760,CGPOWER,CG POWER AND IND SOL,,,,0.05,1,EQ,NSE,NSE
197633,772,DABUR,DABUR INDIA,,,,0.05,1,EQ,NSE,NSE
199937,781,DALMIASUG,DALMIA BHARAT SUG IN,,,,0.05,1,EQ,NSE,NSE
